iter	Passed	Remaining
0	620	3103808
1	947	2367939
2	1282	2136639
3	1684	2104419
4	2021	2019005
5	2412	2008085
6	2804	2000155
7	3200	1996973
8	3524	1954759
9	3844	1918225
10	4166	1889490
11	4486	1864731
12	4893	1877290
13	5282	1881448
14	5612	1865186
15	5948	1852947
16	6270	1838076
17	6597	1826017
18	7010	1837913
19	7345	1829104
20	7673	1819428
21	7995	1809168
22	8324	1801389
23	8648	1793165
24	8976	1786340
25	9311	1781410
26	9636	1774848
27	9975	1771291
28	10305	1766437
29	10644	1763468
30	10975	1759327
31	11316	1756932
32	11639	1751862
33	11973	1748842
34	12298	1744617
35	12634	1742193
36	12986	1741944
37	13313	1738493
38	13643	1735461
39	13979	1733420
40	14397	1741387
41	14733	1739213
42	15060	1736164
43	15395	1734047
44	15719	1730929
45	16064	1730126
46	16408	1729140
47	16733	1726373
48	17066	1724450
49	17397	1722392
50	17802	1727520
51	18130	1725175
52	18457	1722832
53	18795	1721486
54	19134	1720352
55	19462	1718218
56	19776	1715024
57	20199	1721135
58	20522	1718707
59	20853	1716920
60	21194	1716073
61	21593	1719813
62	21916	1717502
63	22251	1716113
64	22586	1714817
65	22932	1714406
66	23277	1713864
67	23597	1711521
68	23932	1710312
69	24276	1709731
70	24609	1708454
71	25022	1712656
72	25351	1711081
73	25758	1714662
74	26105	1714279
75	26447	1713538
76	26850	1716693
77	27174	1714800
78	27502	1713157
79	27918	1717015
80	28249	1715539
81	28575	1713803
82	28914	1712925
83	29242	1711378
84	29576	1710206
85	29907	1708881
86	30237	1707558
87	30557	1705673
88	30880	1703969
89	31230	1703779
90	31565	1702802
91	31884	1700973
92	32217	1699898
93	32613	1702172
94	33047	1706292
95	33365	1704442
96	33693	1703107
97	34024	1701938
98	34371	1701550
99	34693	1699985
100	35015	1698403
101	35341	1697067
102	35673	1696037
103	35994	1694499
104	36332	1693776
105	36654	1692318
106	36979	1691038
107	37319	1690430
108	37657	1689767
109	37986	1688665
110	38319	1687803
111	38645	1686612
112	38978	1685742
113	39404	1688862
114	39736	1687930
115	40059	1686628
116	40386	1685526
117	40785	1687424
118	41111	1686262
119	41427	1684727
120	41758	1683808
121	42084	1682698
122	42412	1681680
123	42736	1680512
124	43062	1679455
125	43389	1678431
126	43727	1677821
127	44040	1676278
128	44386	1676019
129	44710	1674923
130	45040	1674064
131	45374	1673357
132	45691	1672036
133	46033	1671642
134	46441	1673630
135	46762	1672440
136	47091	1671570
137	47426	1670929
138	47751	1669936
139	48101	1669801
140	48428	1668885
141	48762	1668214
142	49083	1667136
143	49418	1666496
144	49751	1665826
145	50076	1664880
146	50418	1664509
147	50752	1663875
148	51069	1662660
149	51381	1661343
150	51697	1660153
151	52020	1659188
152	52348	1658386
153	52692	1658114
154	53026	1657498
155	53371	1657254
156	53713	1656903
157	54048	1656342
158	54392	1656057
159	54717	1655214
160	55052	1654639
161	55383	1653994
162	55725	1653647
163	56047	1652721
164	56382	1652190
165	56712	1651506
166	57039	1650716
167	57356	1649694
168	57690	1649120
169	58096	1650628
170	58523	1652703
171	58844	1651757
172	59266	1653640
173	59613	1653426
174	59939	1652615
175	60272	1652008
176	60597	1651198
177	60937	1650778
178	61258	1649883
179	61589	1649232
180	61912	1648379
181	62245	1647789
182	62578	1647223
183	62906	1646514
184	63229	1645669
185	63556	1644948
186	63880	1644163
187	64217	1643702
188	64548	1643089
189	64884	1642592
190	65240	1642635
191	65571	1642030
192	65885	1640991
193	66223	1640568
194	66555	1639988
195	66911	1640006
196	67226	1639040
197	67572	1638813
198	67905	1638256
199	68266	1638404
200	68605	1638006
201	68928	1637230
202	69249	1636391
203	69577	1635747
204	69933	1635758
205	70272	1635380
206	70596	1634639
207	70939	1634334
208	71261	1633564
209	71610	1633401
210	71962	1633311
211	72314	1633213
212	72633	1632376
213	72972	1631986
214	73299	1631335
215	73632	1630815
216	73946	1629890
217	74276	1629319
218	74603	1628662
219	75016	1629908
220	75337	1629133
221	75686	1628970
222	76026	1628611
223	76366	1628233
224	76696	1627663
225	77026	1627093
226	77331	1626004
227	77678	1625802
228	77998	1625020
229	78330	1624505
230	78665	1624054
231	79004	1623674
232	79351	1623480
233	79679	1622874
234	79995	1622029
235	80332	1621621
236	80666	1621160
237	81003	1620760
238	81327	1620085
239	81646	1619321
240	81973	1618724
241	82309	1618297
242	82631	1617614
243	82968	1617206
244	83312	1616939
245	83664	1616829
246	83969	1615812
247	84301	1615331
248	84612	1614439
249	84940	1613860
250	85268	1613301
251	85588	1612602
252	85915	1612013
253	86242	1611439
254	86569	1610867
255	86969	1611655
256	87302	1611198
257	87655	1611098
258	87984	1610564
259	88298	1609754
260	88637	1609390
261	88962	1608795
262	89298	1608389
263	89622	1607781
264	89934	1606940
265	90284	1606791
266	90621	1606405
267	90955	1605976
268	91295	1605642
269	91633	1605290
270	91964	1604804
271	92286	1604150
272	92608	1603522
273	92941	1603063
274	93244	1602112
275	93573	1601593
276	93894	1600946
277	94237	1600681
278	94544	1599801
279	94899	1599731
280	95213	1598985
281	95552	1598642
282	95857	1597734
283	96174	1597037
284	96499	1596475
285	96830	1596016
286	97154	1595440
287	97481	1594911
288	97816	1594511
289	98138	1593901
290	98479	1593611
291	98885	1594358
292	99214	1593869
293	99540	1593330
294	99881	1593019
295	100209	1592524
296	100531	1591916
297	100862	1591454
298	101174	1590706
299	101482	1589898
300	101795	1589157
301	102126	1588702
302	102438	1587972
303	102767	1587486
